radius,density,Vph,Vsh,mu,K,Visc
0,13088.5,11262.2,3667.8,1.76076E+11,1.42534E+12,1.00E+28
100000,13086.32,11260.63,3666.7,1.75942E+11,1.42478E+12,1.00E+28
200000,13079.79,11255.93,3663.42,1.75539E+11,1.4231E+12,1.00E+28
300000,13068.9,11248.09,3657.94,1.74869E+11,1.42031E+12,1.00E+28
400000,13053.66,11237.11,3650.27,1.73933E+11,1.41641E+12,1.00E+28
500000,13034.06,11223,3640.41,1.72735E+11,1.4114E+12,1.00E+28
600000,13010.11,11205.76,3628.35,1.71277E+11,1.4053E+12,1.00E+28
700000,12981.81,11185.37,3614.11,1.69566E+11,1.3981E+12,1.00E+28
800000,12949.14,11161.86,3597.67,1.67604E+11,1.38982E+12,1.00E+28
900000,12912.13,11135.2,3579.05,1.65399E+11,1.38048E+12,1.00E+28
1000000,12870.76,11105.41,3558.23,1.62957E+11,1.37008E+12,1.00E+28
1100000,12825.03,11072.49,3535.22,1.60284E+11,1.35864E+12,1.00E+28
1200000,12774.95,11036.42,3510.02,1.5739E+11,1.34617E+12,1.00E+28
1217100,12765.95,11029.94,3505.49,1.56874E+11,1.34393E+12,1.00E+28
1221500,12763.61,11028.26,3504.31,1.5674E+11,1.34336E+12,1.00E+28
1300000,12124.99,10309.75,0,0,1.28878E+12,1.00E+03
1400000,12069.23,10249.63,0,0,1.26793E+12,1.00E+03
1500000,12009.88,10187.47,0,0,1.24644E+12,1.00E+03
1600000,11946.81,10122.95,0,0,1.22424E+12,1.00E+03
1700000,11879.89,10055.76,0,0,1.20127E+12,1.00E+03
1800000,11809,9985.58,0,0,1.1775E+12,1.00E+03
1900000,11734.01,9912.1,0,0,1.15286E+12,1.00E+03
2000000,11654.78,9835,0,0,1.12733E+12,1.00E+03
2100000,11571.19,9753.97,0,0,1.10088E+12,1.00E+03
2200000,11483.11,9668.69,0,0,1.07348E+12,1.00E+03
2221500,11463.58,9649.77,0,0,1.06747E+12,1.00E+03
2300000,11390.42,9578.85,0,0,1.04512E+12,1.00E+03
2400000,11292.98,9484.13,0,0,1.01579E+12,1.00E+03
2500000,11190.67,9384.22,0,0,9.85491E+11,1.00E+03
2600000,11083.36,9278.8,0,0,9.54234E+11,1.00E+03
2700000,10970.92,9167.56,0,0,9.22042E+11,1.00E+03
2800000,10853.22,9050.19,0,0,8.88943E+11,1.00E+03
2900000,10730.13,8926.36,0,0,8.54976E+11,1.00E+03
3000000,10601.53,8795.77,0,0,8.20193E+11,1.00E+03
3100000,10467.29,8658.09,0,0,7.84654E+11,1.00E+03
3200000,10327.27,8513.02,0,0,7.48433E+11,1.00E+03
3300000,10181.36,8360.24,0,0,7.11612E+11,1.00E+03
3400000,10029.42,8199.43,0,0,6.74284E+11,1.00E+03
3480000,5566.46,13716.62,7264.65,2.93771E+11,6.55611E+11,1.00E+24
3485700,5563.6,13715.22,7264.71,2.93625E+11,6.55054E+11,1.00E+24
3535700,5538.56,13703.02,7265.2,2.92343E+11,6.50201E+11,1.00E+24
3585700,5513.58,13690.98,7265.63,2.91058E+11,6.45404E+11,1.00E+24
3630000,5491.48,13680.42,7265.93,2.89916E+11,6.41198E+11,1.00E+24
3635700,5488.63,13673.5,7263.31,2.89556E+11,6.40104E+11,1.00E+24
3685700,5463.72,13613.13,7240.48,2.86433E+11,6.30611E+11,1.00E+24
3735700,5438.83,13553.41,7217.81,2.83346E+11,6.21291E+11,1.00E+24
3785700,5413.95,13494.26,7195.29,2.80292E+11,6.12131E+11,1.00E+24
3835700,5389.08,13435.6,7172.87,2.77269E+11,6.0312E+11,1.00E+24
3885700,5364.2,13377.35,7150.55,2.74274E+11,5.94244E+11,1.00E+24
3935700,5339.31,13319.44,7128.28,2.71303E+11,5.85496E+11,1.00E+24
3985700,5314.4,13261.79,7106.05,2.68356E+11,5.76863E+11,1.00E+24
4035700,5289.45,13204.32,7083.82,2.65427E+11,5.68334E+11,1.00E+24
4085700,5264.47,13146.96,7061.57,2.62517E+11,5.59902E+11,1.00E+24
4135700,5239.44,13089.63,7039.27,2.59621E+11,5.51556E+11,1.00E+24
4185700,5214.34,13032.24,7016.9,2.56738E+11,5.43283E+11,1.00E+24
4235700,5189.19,12974.73,6994.42,2.53865E+11,5.3508E+11,1.00E+24
4285700,5163.95,12917.02,6971.82,2.51E+11,5.26935E+11,1.00E+24
4335700,5138.63,12859.02,6949.06,2.48142E+11,5.1884E+11,1.00E+24
4385700,5113.22,12800.67,6926.11,2.45286E+11,5.10789E+11,1.00E+24
4435700,5087.7,12741.88,6902.96,2.42433E+11,5.02772E+11,1.00E+24
4485700,5062.08,12682.58,6879.57,2.39581E+11,4.94784E+11,1.00E+24
4535700,5036.33,12622.69,6855.92,2.36726E+11,4.86816E+11,1.00E+24
4585700,5010.45,12562.13,6831.97,2.33867E+11,4.78862E+11,1.00E+24
4635700,4984.43,12500.83,6807.71,2.31003E+11,4.70917E+11,1.00E+24
4685700,4958.27,12438.7,6783.11,2.28133E+11,4.62973E+11,1.00E+24
4735700,4931.95,12375.67,6758.13,2.25254E+11,4.55026E+11,1.00E+24
4785700,4905.47,12311.67,6732.76,2.22365E+11,4.47071E+11,1.00E+24
4835700,4878.81,12246.62,6706.96,2.19465E+11,4.39102E+11,1.00E+24
4885700,4851.96,12180.43,6680.71,2.16552E+11,4.31115E+11,1.00E+24
4935700,4824.93,12113.04,6653.98,2.13626E+11,4.23107E+11,1.00E+24
4985700,4797.7,12044.35,6626.74,2.10685E+11,4.15072E+11,1.00E+24
5035700,4770.25,11974.31,6598.97,2.07727E+11,4.07008E+11,1.00E+24
5085700,4742.59,11902.83,6570.64,2.04753E+11,3.98913E+11,1.00E+24
5135700,4714.69,11829.83,6541.73,2.01762E+11,3.90781E+11,1.00E+24
5185700,4686.56,11755.23,6512.2,1.98751E+11,3.82613E+11,1.00E+24
5235700,4658.19,11678.96,6482.04,1.95722E+11,3.74405E+11,1.00E+24
5285700,4629.56,11600.95,6451.2,1.92673E+11,3.66158E+11,1.00E+24
5335700,4600.67,11521.1,6419.67,1.89604E+11,3.57869E+11,1.00E+24
5385700,4571.5,11439.36,6387.42,1.86513E+11,3.49537E+11,1.00E+24
5435700,4542.06,11355.63,6354.42,1.83402E+11,3.41164E+11,1.00E+24
5485700,4512.32,11269.84,6320.65,1.8027E+11,3.32747E+11,1.00E+24
5535700,4482.28,11181.92,6286.08,1.77116E+11,3.24288E+11,1.00E+24
5585700,4451.94,11091.79,6250.67,1.73941E+11,3.15791E+11,1.00E+24
5600000,4443.2,11065.6,6240.54,1.73037E+11,3.13342E+11,1.00E+24
5635700,4421.28,10954.59,6136.09,1.66468E+11,3.08609E+11,1.00E+24
5685700,4390.29,10798.97,5989.86,1.57517E+11,3.01964E+11,1.00E+24
5701000,3992.12,10266.17,5570.21,1.23864E+11,2.55594E+11,1.00E+24
5711000,3989.79,10250.69,5562.47,1.23448E+11,2.54636E+11,1.00E+24
5721000,3987.46,10235.2,5554.73,1.23033E+11,2.53679E+11,1.00E+24
5731000,3985.14,10219.71,5546.99,1.22619E+11,2.52726E+11,1.00E+24
5741000,3982.81,10204.22,5539.24,1.22205E+11,2.51774E+11,1.00E+24
5751000,3980.48,10188.74,5531.5,1.21793E+11,2.50825E+11,1.00E+24
5761000,3978.15,10173.25,5523.76,1.21381E+11,2.49877E+11,1.00E+24
5771000,3975.82,10157.83,5515.93,1.20966E+11,2.48943E+11,1.00E+24
