y1_HG_x,y1_HG_y,y1_LC1_x,y1_LC1_y,y1_LC2_x,y1_LC2_y,y3_HG_x,y3_HG_y,y3_LC1_x,y3_LC1_y,y3_LC2_x,y3_LC2_y,y2_HG_x,y2_HG_y,y2_LC1_x,y2_LC1_y,y2_LC2_x,y2_LC2_y,y4_HG_x,y4_HG_y,y4_LC1_x,y4_LC1_y,y4_LC2_x,y4_LC2_y
0.000588235,75374.69782,0.012941176,59613.21515,0.006184094,52057.76668,0.000399841,42929.70307,-0.04383561,764097.3598,0.002354157,9944.335346,2899.43795,48120.56646,-29.76612332,15060.24096,-10.17693275,18877.69358,62.82722513,17946.13007,54.97382199,764949.8518,31.41361257,560177.8843
0.002512158,149679.9725,0.017647059,62610.79774,0.01269882,57906.49042,0.001198931,118291.0804,0.008238959,22435.66081,0.004316152,16116.17228,2888.908817,118447.8706,-31.09496811,60240.96386,-20.74960106,42741.32194,479.0575916,20122.37431,117.8010471,770847.7891,109.947644,564538.2577
0.004111227,223739.0741,0.023529412,68412.57051,0.019213546,63027.99579,0.002390775,196694.0806,0.009127444,40745.38597,0.006669718,19305.44687,2873.396503,142455.9082,-3.454996456,120481.9277,-2.117887931,80477.26376,698.9528796,22692.8657,227.7486911,779663.1552,227.7486911,573337.854
0.00588797,299233.0922,0.027505016,73537.99746,0.025728272,74041.28342,0.003189275,269043.3653,0.011380985,46768.64471,0.009025056,31530.99945,2848.049494,213180.3378,-5.138199858,177710.8434,1.656130984,119964.1677,1130.890052,24837.57018,333.7696335,791498.4546,345.5497382,580631.4262
0.00736859,372067.4037,0.030588235,85237.71152,0.032242998,95787.31099,0.00438289,356482.6436,0.013341799,46916.29631,0.012558064,49869.32833,2795.225441,283218.8235,-36.14457831,231927.7108,9.552768493,153524.8771,918.8481675,25263.35709,447.6439791,800305.9358,510.4712042,593854.4755
0.00884921,447200.394,0.034019742,95586.13709,0.035882353,115664.7865,0.00538072,445413.203,0.015250118,54922.02729,0.015306746,68148.59657,2794.633788,303335.0318,-37.38483345,274096.3855,-0.343300012,187944.8216,1358.638743,30404.33987,581.1518325,816604.1128,628.2722513,604160.0959
0.010414436,521040.9087,0.038235294,107574.5367,0.041764706,140644.6414,0.006376777,525307.4845,0.017266969,65284.15551,0.018840935,92511.11078,2733.622154,364088.0028,-58.28969517,319104.5218,-16.0815721,219635.4312,1460.732984,63331.86148,706.8062827,835930.1079,738.2198953,615987.5103
0.011937359,594419.3696,0.042941176,121531.0234,0.045882353,160048.3481,0.007179411,618741.4178,0.018412938,76167.79877,0.021198636,116785.034,2733.036447,384002.0382,-79.35798849,357391.0238,-23.03870002,254813.5242,1452.879581,141660.8844,785.3403141,847820.6018,824.6073298,627862.2343
0.013121854,668370.3755,0.046160822,140072.5771,0.048823529,176647.8646,0.00758693,697085.3574,0.019627032,101606.4494,0.023161811,128981.0563,2656.781568,459614.7208,-127.8594274,395525.8962,-61.29497526,302593.731,1429.319372,232069.6398,863.8743455,862723.1439,926.7015707,641211.4426
0.014771688,746583.0157,0.05060268,171742.1887,0.050588235,201402.0951,0.008779955,781512.543,0.021450149,128017.9972,0.021988867,146965.0213,2565.900368,529111.6718,-164.4913818,432826.8052,-118.428654,343365.2756,1405.759162,311936.2266,973.8219895,889610.7992,1013.089005,657604.2389
0.015956183,822504.3176,0.055636787,201276.9265,0.050997512,241479.4652,0.009186883,856844.39,0.025930521,156628.9551,0.020814742,158924.801,2550.501033,549278.4234,-216.0031165,472629.6044,-173.0068554,377157.0398,1374.34555,393324.6073,1036.649215,910568.9775,1068.062827,669542.0425
0.017013769,896152.825,0.061559265,231806.0843,0.050306556,279254.8697,0.009596173,944224.6076,0.030279925,188523.0194,0.020425532,173955.734,2455.303058,621714.1026,-276.2424789,507125.3637,-251.2440169,412293.6151,1335.078534,473222.7339,1091.623037,937567.022,1123.036649,684491.8943
0.018029051,969503.47,0.067481743,261093.9556,0.049536634,311325.224,0.010003691,1022568.547,0.034234771,221811.7734,0.020427894,186004.1047,2323.857725,703991.272,-351.3512158,543769.2105,-365.9638554,445783.1325,1287.958115,551630.6062,1138.743455,991689.2702,1201.570681,717466.7255
0.018917422,1045408.546,0.073404221,291898.9549,0.049714309,344389.9597,0.010020228,1106907.142,0.037646589,254416.3591,0.020041638,216095.5011,2188.163999,786882.1808,-441.2958793,581423.9222,-425.3189227,463855.4217,1232.984293,634572.3207,1138.743455,1027833.848,1240.837696,738472.2135
0.01963658,1117954.847,0.078438328,323403.9887,0.049714309,374732.5189,0.010232847,1191260.502,0.038984419,281305.015,0.019653609,237150.6194,2037.723541,867751.3601,-516.3748848,617056.9043,-514.3515237,490963.8554,1178.010471,711489.9388,1115.183246,1064025.736,1256.544503,762537.0592
0.020228828,1192267.46,0.081991814,355399.2786,0.048825937,405991.8452,0.010249974,1278611.189,0.038990762,313653.1643,0.019263809,249169.4597,1870.37552,948151.2094,-635.9728195,656101.5549,-603.2955351,515060.241,1107.329843,789945.1208,1064.136126,1118345.108,1264.397906,786617.6749
0.020821076,1268128.162,0.084953054,387926.9348,0.047286093,432939.932,0.009677677,1359893.396,0.038997303,347012.1933,0.018874009,261188.3001,1722.482398,1014326.748,-785.1905777,695398.9217,-780.6342536,540483.9001,1036.649215,871412.351,989.5287958,1169699.741,1264.397906,813726.1086
0.021159503,1344228.281,0.086492898,421020.3363,0.044384078,467077.2042,0.009300279,1435166.182,0.03837252,382446.4988,0.018876371,273236.6708,1662.648125,1035049.475,-949.3178476,738209.0435,-1018.474375,572477.7692,950.2617801,949899.0727,918.8481675,1212010.345,1256.544503,837838.2641
